DAGS,MED
16.10.2012,21430.00
17.10.2012,21523.00
18.10.2012,21568.00
19.10.2012,21698.00
22.10.2012,21769.00
23.10.2012,21847.00
24.10.2012,21899.00
25.10.2012,22073.00
26.10.2012,22070.00
29.10.2012,22044.00
30.10.2012,22112.00
31.10.2012,22145.00
1.11.2012,21889.00
2.11.2012,21849.00
5.11.2012,21827.00
6.11.2012,21837.00
7.11.2012,21891.00
8.11.2012,21894.00
9.11.2012,21947.00
12.11.2012,21962.00
13.11.2012,21975.00
14.11.2012,22039.00
15.11.2012,22112.00
16.11.2012,21979.00
19.11.2012,21734.00
20.11.2012,21747.00
21.11.2012,21784.00
22.11.2012,21810.00
23.11.2012,21816.00
26.11.2012,21851.00
27.11.2012,21877.00
28.11.2012,21851.00
29.11.2012,21904.00
30.11.2012,21906.00
3.12.2012,21930.00
4.12.2012,21907.00
5.12.2012,21923.00
6.12.2012,21926.00
7.12.2012,21906.00
10.12.2012,21943.00
11.12.2012,22001.00
12.12.2012,22179.00
13.12.2012,22207.00
14.12.2012,22189.00
17.12.2012,22276.00
18.12.2012,22292.00
19.12.2012,22310.00
20.12.2012,22266.00
21.12.2012,22384.00
27.12.2012,22632.00
28.12.2012,22776.00
31.12.2012,22760.00
2.1.2013,22654.00
3.1.2013,22599.00
4.1.2013,22624.00
7.1.2013,22627.00
8.1.2013,22645.00
9.1.2013,22657.00
10.1.2013,22720.00
11.1.2013,22858.00
14.1.2013,22937.00
15.1.2013,22975.00
16.1.2013,22976.00
17.1.2013,23041.00
18.1.2013,23046.00
21.1.2013,22925.00
22.1.2013,22924.00
23.1.2013,23015.00
24.1.2013,23064.00
25.1.2013,23151.00
28.1.2013,23166.00
29.1.2013,23229.00
30.1.2013,23345.00
31.1.2013,23030.00
1.2.2013,23114.00
4.2.2013,23001.00
5.2.2013,23010.00
6.2.2013,23039.00
7.2.2013,23062.00
8.2.2013,22988.00
11.2.2013,23110.00
12.2.2013,23055.00
13.2.2013,23092.00
14.2.2013,23035.00
15.2.2013,23079.00
18.2.2013,23153.00
19.2.2013,23124.00
20.2.2013,23102.00
21.2.2013,22960.00
22.2.2013,22508.00
25.2.2013,22467.00
26.2.2013,22287.00
27.2.2013,22180.00
28.2.2013,22122.00
1.3.2013,21741.00
4.3.2013,21756.00
5.3.2013,21782.00
6.3.2013,21849.00
7.3.2013,21906.00
8.3.2013,22112.00
11.3.2013,22076.00
12.3.2013,22087.00
13.3.2013,22090.00
14.3.2013,22022.00
15.3.2013,21872.00
18.3.2013,21822.00
19.3.2013,21817.00
20.3.2013,21842.00
21.3.2013,21722.00
22.3.2013,21512.00
25.3.2013,21507.00
26.3.2013,21439.00
27.3.2013,21391.00
2.4.2013,21262.00
3.4.2013,21273.00
4.4.2013,21232.00
5.4.2013,20965.00
8.4.2013,20785.00
9.4.2013,20813.00
10.4.2013,20827.00
11.4.2013,20866.00
12.4.2013,20825.00
15.4.2013,20774.00
16.4.2013,20687.00
17.4.2013,20716.00
18.4.2013,20670.00
19.4.2013,20484.00
22.4.2013,20484.00
23.4.2013,20453.00
24.4.2013,20460.00
26.4.2013,20450.00
29.4.2013,20549.00
30.4.2013,20507.00
2.5.2013,20469.00
3.5.2013,20437.00
6.5.2013,20407.00
7.5.2013,20477.00
8.5.2013,20596.00
10.5.2013,20749.00
13.5.2013,20957.00
14.5.2013,21321.00
15.5.2013,21296.00
16.5.2013,21254.00
17.5.2013,21283.00
21.5.2013,21276.00
22.5.2013,21316.00
23.5.2013,21374.00
24.5.2013,21487.00
27.5.2013,21505.00
28.5.2013,21537.00
29.5.2013,21386.00
30.5.2013,21401.00
31.5.2013,21392.00
3.6.2013,21369.00
4.6.2013,21437.00
5.6.2013,21433.00
6.6.2013,21383.00
7.6.2013,21412.00
10.6.2013,21433.00
11.6.2013,21463.00
12.6.2013,21504.00
13.6.2013,21517.00
14.6.2013,21507.00
18.6.2013,21507.00
19.6.2013,21509.00
20.6.2013,21729.00
21.6.2013,21679.00
24.6.2013,21682.00
25.6.2013,21725.00
26.6.2013,21638.00
27.6.2013,21615.00
28.6.2013,21599.00
1.7.2013,21603.00
2.7.2013,21648.00
3.7.2013,21684.00
4.7.2013,21711.00
5.7.2013,21679.00
8.7.2013,21731.00
9.7.2013,21826.00
10.7.2013,21723.00
11.7.2013,21721.00
12.7.2013,21521.00
15.7.2013,21486.00
16.7.2013,21406.00
17.7.2013,21307.00
18.7.2013,21313.00
19.7.2013,21340.00
22.7.2013,21334.00
23.7.2013,21332.00
24.7.2013,21393.00
25.7.2013,21457.00
26.7.2013,21409.00
29.7.2013,21374.00
30.7.2013,21207.00
31.7.2013,21206.00
1.8.2013,21154.00
2.8.2013,21152.00
6.8.2013,21149.00
7.8.2013,21148.00
8.8.2013,21179.00
9.8.2013,21175.00
12.8.2013,21178.00
13.8.2013,21251.00
14.8.2013,21412.00
15.8.2013,21464.00
16.8.2013,21436.00
19.8.2013,21485.00
20.8.2013,21523.00
21.8.2013,21566.00
22.8.2013,21557.00
23.8.2013,21528.00
26.8.2013,21543.00
27.8.2013,21532.00
28.8.2013,21502.00
29.8.2013,21396.00
30.8.2013,21271.00
2.9.2013,21263.00
3.9.2013,21321.00
4.9.2013,21390.00
5.9.2013,21461.00
6.9.2013,21459.00
9.9.2013,21486.00
10.9.2013,21536.00
11.9.2013,21594.00
12.9.2013,21620.00
13.9.2013,21722.00
16.9.2013,21735.00
17.9.2013,21762.00
18.9.2013,21682.00
19.9.2013,21693.00
20.9.2013,21708.00
23.9.2013,21750.00
24.9.2013,21870.00
25.9.2013,22016.00
26.9.2013,21999.00
27.9.2013,21942.00
30.9.2013,21908.00
1.10.2013,21867.00
2.10.2013,21967.00
3.10.2013,22045.00
4.10.2013,22002.00
7.10.2013,22018.00
8.10.2013,22047.00
9.10.2013,22108.00
10.10.2013,22143.00
11.10.2013,22182.00
14.10.2013,22153.00
15.10.2013,21959.00
16.10.2013,21954.00
17.10.2013,21962.00
18.10.2013,22011.00
21.10.2013,22038.00
22.10.2013,22124.00
23.10.2013,22199.00
24.10.2013,22212.00
25.10.2013,22188.00
28.10.2013,22214.00
29.10.2013,22210.00
30.10.2013,22191.00
31.10.2013,22047.00
1.11.2013,21958.00
4.11.2013,22016.00
5.11.2013,22024.00
6.11.2013,22021.00
7.11.2013,22033.00
8.11.2013,22014.00
11.11.2013,21981.00
12.11.2013,22075.00
13.11.2013,22123.00
14.11.2013,22133.00
15.11.2013,21958.00
18.11.2013,21927.00
19.11.2013,21980.00
20.11.2013,22001.00
21.11.2013,21993.00
22.11.2013,22043.00
25.11.2013,22068.00
26.11.2013,22019.00
27.11.2013,22027.00
28.11.2013,21850.00
29.11.2013,21816.00
2.12.2013,21772.00
3.12.2013,21762.00
4.12.2013,21753.00
5.12.2013,21773.00
6.12.2013,21705.00
9.12.2013,21707.00
10.12.2013,21662.00
11.12.2013,21676.00
12.12.2013,21597.00
13.12.2013,21599.00
16.12.2013,21558.00
17.12.2013,21533.00
18.12.2013,21456.00
19.12.2013,21420.00
20.12.2013,21353.00
23.12.2013,21355.00
27.12.2013,21358.00
30.12.2013,21302.00
31.12.2013,21248.00
2.1.2014,21232.00
3.1.2014,21160.00
6.1.2014,21202.00
7.1.2014,21238.00
8.1.2014,21269.00
9.1.2014,21356.00
10.1.2014,21326.00
13.1.2014,21402.00
14.1.2014,21153.00
15.1.2014,21116.00
16.1.2014,21108.00
17.1.2014,21099.00
20.1.2014,21095.00
21.1.2014,21040.00
22.1.2014,21045.00
23.1.2014,21068.00
24.1.2014,21045.00
27.1.2014,21044.00
28.1.2014,21002.00
29.1.2014,21068.00
30.1.2014,21046.00
31.1.2014,21027.00
3.2.2014,20966.00
4.2.2014,20959.00
5.2.2014,20968.00
6.2.2014,20978.00
7.2.2014,20968.00
10.2.2014,20986.00
11.2.2014,20958.00
12.2.2014,20899.00
13.2.2014,20815.00
14.2.2014,20816.00
17.2.2014,20810.00
18.2.2014,20837.00
19.2.2014,20843.00
20.2.2014,20859.00
21.2.2014,20865.00
24.2.2014,20869.00
25.2.2014,20889.00
26.2.2014,20853.00
27.2.2014,20811.00
28.2.2014,20799.00
3.3.2014,20759.00
4.3.2014,20785.00
5.3.2014,20749.00
6.3.2014,20752.00
7.3.2014,20811.00
10.3.2014,20834.00
11.3.2014,20876.00
12.3.2014,20959.00
13.3.2014,20975.00
14.3.2014,20948.00
17.3.2014,20943.00
18.3.2014,21041.00
19.3.2014,21089.00
20.3.2014,21036.00
21.3.2014,21031.00
24.3.2014,20979.00
25.3.2014,21039.00
26.3.2014,20971.00
27.3.2014,20829.00
28.3.2014,20789.00
31.3.2014,20816.00
1.4.2014,20834.00
2.4.2014,20797.00
3.4.2014,20805.00
4.4.2014,20792.00
7.4.2014,20799.00
8.4.2014,20753.00
9.4.2014,20757.00
10.4.2014,20798.00
11.4.2014,20774.00
14.4.2014,20770.00
15.4.2014,20764.00
16.4.2014,20745.00
22.4.2014,20749.00
23.4.2014,20758.00
25.4.2014,20821.00
28.4.2014,20833.00
29.4.2014,20804.00
30.4.2014,20803.00
2.5.2014,20779.00
5.5.2014,20782.00
6.5.2014,20865.00
7.5.2014,20868.00
8.5.2014,20871.00
9.5.2014,20872.00
12.5.2014,20866.00
13.5.2014,20845.00
14.5.2014,20818.00
15.5.2014,20689.00
16.5.2014,20664.00
